id	domain	url	encoding	url_condition	is_header	title_path	title_path_2	content_path	content_path2
1	headlines.yahoo.co.jp	https://headlines.yahoo.co.jp/hl?a=20190204-35132229-cnetj-sci	utf8	/hl\?a=\d+-\d+-\w+-\w+$	0	//div[@id='ym_newsarticle']//h1		//div[@class='articleMain']//p[@class='ynDetailText yjDirectSLinkTarget']	
2	news.yahoo.co.jp	https://news.yahoo.co.jp/pickup/6312501	utf8	\/pickup\/\d+$	0	//span[@class='title']		//div[@class='headlineText']/p[1]	
3	news.livedoor.com	http://news.livedoor.com/topics/detail/15972309/	japaneseEUC	\/topics\/detail\/\d+.*	0	//div[@class='topicsHeaderTxt']//h1[@class='topicsTtl']		//div[@class='topicsBody']//ul[@class='summaryList']	
4	news.livedoor.com	http://news.livedoor.com/article/detail/15972309/	japaneseEUC	\/article\/detail\/\d+.*	0	//div[@class='topicsHeaderTxt']//h1[@class='topicsTtl']		//div[@class='articleBody']//p	
5	www.amazon.co.jp	https://www.amazon.co.jp/dp/B01LATWL5G	utf8	\/dp\/.*	0	//h1[@id='title']	//span[@id='title']	//div[@id='productDescription_fullView']//p	
6	ja.m.wikipedia.org	https://ja.m.wikipedia.org/wiki/ブラウザ	utf8	\/wiki\/.*	0	//div[@class='pre-content heading-holder']//h1[@id='section_0']		//div[@id='mw-content-text']//p	
7	detail.chiebukuro.yahoo.co.jp	https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11202517121	utf8	\/qa\/question_detail/.*	1	//meta[@property='og:title']/@content		//meta[@property='og:description']/@content	
8	appleshinja.com	https://appleshinja.com/smartnews-usage	utf8	\/.*	0	//h1[@class='section-title']		//div[@class='bubble-in']/p	
9	uranai.nosv.org	https://uranai.nosv.org/u.php/novel/masayon1713/	utf8	\/novel\/.*	0	//h1[@class='utitle']		//div[@id='desc']	
10	matome.naver.jp	https://matome.naver.jp/odai/2148879568354936001	utf8	\/m\//*	0	//h1[@class='mdMTM01Ttl']		//div[@class='MdMTM02Body']//p	
11	zozo.jp	http://zozo.jp/shop/zozo/goods/25557339/?rid=1175	utf8	\/sp\/shop\/zozo\/goods\/.*	0	//div[@class='goodsName']		//div[@class='itemInfoIntro']/div	
12	jp.techcrunch.com	https://jp.techcrunch.com/2019/02/04/yahoo-2019-3q/	utf8	\/\d{4}\/\d{1,2}\/\d{1,2}(.*)	0	//header[@class='article-header page-title']//h1		//div[@class='article-entry text']//p[not(@class)]	
13	toyokeizai.net	https://toyokeizai.net/articles/-/262347	utf8	\/\articles/-/\d+$	0	//div[@id='article-body']//h1		//div[@id='article-body-inner']//p	
14	www.amazon.com	https://www.amazon.co.jp/dp/4093886458	utf8	\/dp\/.*	0	//h1[@id='title']	//span[@id='title']	//div[@id='productDescription_fullView']//p	
15	mobile.twitter.com	https://mobile.twitter.com/sassymanyuichi	utf8	\/.*	0	//*[@id='react-root']/div/main/div/div[2]/div/div/div/div/div/div/div[2]/div/div[1]/div[2]/div[2]/div/div[1]/div[1]/span		//*[@id='react-root']/div/main/div/div[2]/div/div/div/div/div/div/div[2]/div/div[1]/div[2]/div[3]/div/span	
16	mobile.twitter.com	https://mobile.twitter.com/sassymanyuichi/status/1070336936835858432	utf8	\/status\/.*	0	//*[@id='react-root']/div/main/div/div[2]/div/div/div/div/div/section/div/div/div/div[1]/div/article/div[2]/div/div[2]/div/div[1]/a/div/div[1]/div[1]/span		//*[@id='react-root']/div/main/div/div[2]/div/div/div/div/div/section/div/div/div/div[1]/div/article/div[2]/div/div[2]/div/div[1]/a/div/div[1]/div[1]/span	
17	www.pixiv.net	https://www.pixiv.net/member.php?id=13574458	utf8	\/member.php\?id=.*	0	//h1/a[1]		//p[@id='profile-comment']	
18	m.youtube.com	https://m.youtube.com/watch?v=n0Xenx8vJgE	utf8	\/watch?v=.*	0	//*[@id='app']/div[2]/ytm-watch/ytm-single-column-watch-next-results-renderer/ytm-item-section-renderer[1]/lazy-list/ytm-slim-video-metadata-renderer/div[1]/div/h2		x	
19	itest.5ch.net	https://itest.5ch.net/hayabusa9/test/read.cgi/mnewsplus/1549220203	utf8	\/read.cgi/.*	0	//div[@id='title']		//li[@id='res_1']/div[@class='threadview_response_body' and 5]	
20	itest.5ch.net	http://itest.5ch.net/test/read.cgi/newsplus/1548948493/	utf8	\/read.cgi/.*	0	//div[@id='title']		//li[@id='res_1']/div[@class='threadview_response_body' and 5]	
21	itest.5ch.net	http://itest.5ch.net/lavender/test/read.cgi/asaloon/1548491553	utf8	\/read.cgi/.*	0	//div[@id='title']		//li[@id='res_1']/div[@class='threadview_response_body' and 5]	
22	www.google.co.jp	https://www.google.co.jp/search?q=OMRON%20connect	utf8	\/search?q=.*	0	//div[1]/div[@class='mnr-c xpd O9g5cc uUPGi' and 1]/div[@class='U3THc' and 1]/div[1]/div[1]/a[@class='C8nzq BmP5tf' and 1]/div[@class='MUxGbd v0nnCb' and 1]		//div[1]/div[@class='mnr-c xpd O9g5cc uUPGi' and 1]/div[@class='U3THc' and 1]/div[2]/div[@class='BmP5tf' and 1]/div[@class='MUxGbd yDYNvb' and 1]	
